,image,uniques,counts
1849,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_50.gpkg,"6, 11","788848, 211152"
1850,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_220.gpkg,"6, 5","992907, 7093"
1851,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_539.gpkg,"30, 6","996369, 3631"
1852,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_98.gpkg,"0, 29","592860, 407140"
1853,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_347.gpkg,"5, 14","100668, 899332"
1854,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_505.gpkg,"5, 1","656472, 343528"
1855,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_501.gpkg,"10, 5, 1","477009, 204998, 317993"
1856,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_130.gpkg,"2, 0","887539, 112461"
1857,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_9.gpkg,"37, 4","847342, 152658"
1858,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_98.gpkg,"14, 7","963546, 36454"
1859,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_192.gpkg,"17, 12","966544, 33456"
1860,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_3.gpkg,"20, 21, 13","975161, 24242, 597"
1861,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_195.gpkg,"23, 37, 13","427913, 135463, 436624"
1862,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_123.gpkg,"37, 23","931028, 68972"
1863,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_257.gpkg,"10, 5","598578, 401422"
1864,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_83.gpkg,"37, 4, 23","870121, 1124, 128755"
1865,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_12.gpkg,"4, 11","998184, 1816"
1866,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_215.gpkg,"37, 23","995918, 4082"
1867,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_159.gpkg,"29, 0, 6","967603, 31691, 706"
1868,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_146.gpkg,"12, 32, 9, 29","193263, 216818, 404684, 185235"
1869,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_319.gpkg,"31, 33, 12","205363, 486523, 308114"
1870,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_10.gpkg,"9, 20, 17","186506, 528405, 285089"
1871,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_183.gpkg,"37, 23, 13","547051, 370969, 81980"
1872,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_193.gpkg,"13, 23","976384, 23616"
1873,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_134.gpkg,"0, 29, 36","334294, 661159, 4547"
1874,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_18.gpkg,29,1000000
1875,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_473.gpkg,"14, 10","2265, 997735"
1876,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_207.gpkg,"11, 18, 4","934619, 3995, 61386"
1877,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_82.gpkg,"16, 15","999999, 1"
1878,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_139.gpkg,"4, 11","893538, 106462"
1879,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_33.gpkg,"2, 3","572399, 427601"
1880,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_5.gpkg,"23, 37, 13","936584, 63331, 85"
1881,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_8.gpkg,"16, 25","824479, 175521"
1882,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_472.gpkg,29,1000000
1883,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_412.gpkg,"9, 32","755126, 244874"
1884,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_280.gpkg,"22, 5","351260, 648740"
1885,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_90.gpkg,"18, 15","724150, 275850"
1886,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_153.gpkg,"10, 14","739435, 260565"
1887,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_27.gpkg,"12, 32, 9","599021, 335226, 65753"
1888,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_480.gpkg,"14, 10","18761, 981239"
1889,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_418.gpkg,"0, 6, 29, 3","237839, 605327, 149139, 7695"
1890,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_406.gpkg,"5, 14","492595, 507405"
1891,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_336.gpkg,"31, 12","922475, 77525"
1892,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_187.gpkg,"20, 21","977789, 22211"
1893,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_28.gpkg,"12, 32, 9, 29, 36","99021, 338979, 450427, 108001, 3572"
1894,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_147.gpkg,"12, 32","832268, 167732"
1895,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_195.gpkg,"14, 10","911272, 88728"
1896,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_548.gpkg,"0, 29","351822, 648178"
1897,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_52.gpkg,"2, 0, 4, 36","453759, 253940, 292138, 163"
1898,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_121.gpkg,"16, 19","936346, 63654"
1899,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_24.gpkg,"10, 1, 11","830827, 54768, 114405"
1900,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_100.gpkg,"11, 4","326956, 673044"
1901,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_271.gpkg,"5, 22","955355, 44645"
1902,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_37.gpkg,"20, 9","986337, 13663"
1903,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_554.gpkg,"12, 31","488104, 511896"
1904,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_61.gpkg,"6, 0","92540, 907460"
1905,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_540.gpkg,"5, 22","704158, 295842"
1906,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_18.gpkg,"20, 21, 13","83516, 231759, 684725"
1907,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_103.gpkg,"20, 21","887331, 112669"
1908,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_141.gpkg,"18, 19","459320, 540680"
1909,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_532.gpkg,"12, 32","932734, 67266"
1910,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_369.gpkg,"10, 1","621568, 378432"
1911,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_103.gpkg,"1, 0","174807, 825193"
1912,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_37.gpkg,"6, 0","163803, 836197"
1913,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_223.gpkg,"37, 4","685646, 314354"
1914,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_210.gpkg,"29, 3, 31","359, 253284, 746357"
1915,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_97.gpkg,"8, 9","310588, 689412"
1916,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_12.gpkg,"1, 0","462065, 537935"
1917,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_136.gpkg,"31, 12","801, 999199"
1918,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_22.gpkg,"15, 16","976434, 23566"
1919,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_446.gpkg,"31, 12","549574, 450426"
1920,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_82.gpkg,"0, 1","999515, 485"
1921,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_466.gpkg,"30, 31","340752, 659248"
1922,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_340.gpkg,"12, 9, 33","584341, 172858, 242801"
1923,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_245.gpkg,"9, 12, 17, 13","156768, 467734, 343489, 32009"
1924,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_276.gpkg,"12, 9","331324, 668676"
1925,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_68.gpkg,"31, 12","779340, 220660"
1926,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_460.gpkg,3,1000000
1927,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_40.gpkg,"14, 10","297515, 702485"
1928,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_361.gpkg,"14, 10, 27","461817, 512400, 25783"
1929,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_80.gpkg,"23, 37, 13","630752, 72496, 296752"
1930,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_120.gpkg,"10, 14","932738, 67262"
1931,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_516.gpkg,"32, 9, 12, 36","317345, 470317, 186482, 25856"
1932,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_18.gpkg,4,1000000
1933,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_12.gpkg,"30, 6, 0","135109, 775303, 89588"
1934,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_149.gpkg,"4, 11","999139, 861"
1935,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_547.gpkg,0,1000000
1936,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_530.gpkg,"12, 31","997275, 2725"
1937,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_208.gpkg,"17, 20","707751, 292249"
1938,S1B_IW_GRDH_1SDV_20210219T015315_20210219T015345_025669_030F4C_1AF6_520.gpkg,"0, 29","650462, 349538"
1939,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_127.gpkg,"4, 0, 36","262704, 734921, 2375"
1940,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_400.gpkg,"5, 10","743738, 256262"
1941,S1B_IW_GRDH_1SDV_20211204T015353_20211204T015418_029869_0390C6_1180_97.gpkg,"1, 0","834762, 165238"
1942,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_252.gpkg,"4, 11","870155, 129845"
1943,S1B_IW_GRDH_1SDH_20211201T030735_20211201T030800_029826_038F6B_3CEC_16.gpkg,"13, 23","504327, 495673"
1944,S1B_IW_GRDH_1SDV_20211110T015325_20211110T015354_029519_0385E0_09D8_219.gpkg,"6, 5, 1","845259, 151967, 2774"
1945,S1B_IW_GRDH_1SDV_20210430T021033_20210430T021058_026690_033016_7221_21.gpkg,"8, 9","995791, 4209"
1946,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_40.gpkg,16,1000000
1947,S1B_IW_GRDH_1SDV_20211104T010336_20211104T010401_029431_03832E_212E_11.gpkg,"16, 25","931681, 68319"
1948,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_70.gpkg,"38, 39","29085, 970915"
1949,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_298.gpkg,"40, 41, 13","590652, 116957, 292391"
1950,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_58.gpkg,"41, 42, 40","725772, 36149, 238079"
1951,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_465.gpkg,"39, 42","978008, 21992"
1952,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_405.gpkg,"43, 38","125276, 874724"
1953,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_475.gpkg,"42, 40","855768, 144232"
1954,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_346.gpkg,"39, 44","653964, 346036"
1955,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_438.gpkg,"39, 42","695771, 304229"
1956,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_56.gpkg,"42, 41, 40","238705, 464762, 296533"
1957,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_53.gpkg,"42, 40","432495, 567505"
1958,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_108.gpkg,"44, 43, 39","578199, 130264, 291537"
1959,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_402.gpkg,"13, 38","23155, 976845"
1960,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_510.gpkg,"44, 39, 40, 43","258128, 525330, 164537, 52005"
1961,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_125.gpkg,"41, 40","607399, 392601"
1962,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_478.gpkg,"42, 40","838313, 161687"
1963,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_236.gpkg,"43, 41, 40","572097, 111245, 316658"
1964,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_267.gpkg,"43, 40, 41","124461, 819461, 56078"
1965,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_144.gpkg,"44, 39","790896, 209104"
1966,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_29.gpkg,"39, 44","972569, 27431"
1967,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_245.gpkg,"41, 40","985667, 14333"
1968,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_362.gpkg,"39, 40","999025, 975"
1969,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_458.gpkg,13,1000000
1970,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_114.gpkg,"43, 40, 41","361193, 363603, 275204"
1971,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_20.gpkg,"40, 44","628625, 371375"
1972,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_357.gpkg,"39, 44, 43","153964, 738391, 107645"
1973,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_498.gpkg,39,1000000
1974,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_209.gpkg,"43, 41","990746, 9254"
1975,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_398.gpkg,"13, 38","861110, 138890"
1976,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_232.gpkg,"40, 38","169977, 830023"
1977,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_228.gpkg,"41, 40","571480, 428520"
1978,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_193.gpkg,"40, 41","435118, 564882"
1979,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_127.gpkg,"40, 41","962947, 37053"
1980,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_101.gpkg,"39, 42","716775, 283225"
1981,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_350.gpkg,"39, 42","81752, 918248"
1982,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_197.gpkg,"40, 41","370826, 629174"
1983,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_468.gpkg,"39, 40, 42","768019, 200887, 31094"
1984,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_323.gpkg,"36, 38, 39","1779, 869329, 128892"
1985,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_287.gpkg,"40, 43, 41, 13","322726, 588339, 7776, 81159"
1986,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_198.gpkg,"40, 41","315017, 684983"
1987,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_456.gpkg,"44, 39","903881, 96119"
1988,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_281.gpkg,"36, 38, 43","1228, 281218, 717554"
1989,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_81.gpkg,"43, 40, 41","933285, 62778, 3937"
1990,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_64.gpkg,"44, 40","307289, 692711"
1991,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_483.gpkg,"39, 42, 40","300394, 612141, 87465"
1992,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_471.gpkg,"42, 40","694682, 305318"
1993,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_113.gpkg,"39, 42","962101, 37899"
1994,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_42.gpkg,"39, 42","427298, 572702"
1995,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_213.gpkg,"41, 40, 43","259478, 705757, 34765"
1996,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_512.gpkg,"38, 39","696342, 303658"
1997,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_462.gpkg,"39, 42","946862, 53138"
1998,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_311.gpkg,"43, 40, 41, 13","467267, 4510, 5378, 522845"
1999,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_333.gpkg,"13, 43","651384, 348616"
2000,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_326.gpkg,"40, 38, 13","234785, 733917, 31298"
2001,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_450.gpkg,"39, 42","525867, 474133"
2002,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_297.gpkg,"41, 40, 13","546472, 351860, 101668"
2003,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_17.gpkg,39,1000000
2004,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_207.gpkg,"39, 38","999364, 636"
2005,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_431.gpkg,"39, 42","928, 999072"
2006,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_16.gpkg,"42, 40, 41","1050, 990588, 8362"
2007,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_336.gpkg,"13, 43","598572, 401428"
2008,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_305.gpkg,"38, 43","203255, 796745"
2009,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_112.gpkg,40,1000000
2010,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_263.gpkg,40,1000000
2011,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_238.gpkg,"40, 41, 43","427606, 1234, 571160"
2012,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_250.gpkg,"41, 40","903318, 96682"
2013,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_85.gpkg,"40, 41","966467, 33533"
2014,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_412.gpkg,38,1000000
2015,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_151.gpkg,"40, 41, 43","363433, 441383, 195184"
2016,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_132.gpkg,"40, 38","960224, 39776"
2017,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_41.gpkg,"40, 43","242021, 757979"
2018,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_2.gpkg,"39, 40","948873, 51127"
2019,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_337.gpkg,"43, 13, 41","285973, 714026, 1"
2020,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_441.gpkg,"39, 42","550485, 449515"
2021,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_139.gpkg,"39, 44","980354, 19646"
2022,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_486.gpkg,39,1000000
2023,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_159.gpkg,"41, 40","418586, 581414"
2024,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_168.gpkg,39,1000000
2025,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_12.gpkg,"42, 41, 40","641332, 345604, 13064"
2026,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_257.gpkg,"42, 40","363914, 636086"
2027,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_383.gpkg,"38, 13","344285, 655715"
2028,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_143.gpkg,"44, 39","625683, 374317"
2029,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_396.gpkg,"38, 13","505127, 494873"
2030,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_171.gpkg,"38, 39","954968, 45032"
2031,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_492.gpkg,"39, 42","69497, 930503"
2032,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_423.gpkg,"39, 40, 43","452457, 178424, 369119"
2033,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_14.gpkg,"42, 40, 41","436751, 43449, 519800"
2034,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_470.gpkg,39,1000000
2035,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_501.gpkg,"40, 42","978996, 21004"
2036,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_36.gpkg,"43, 44","598538, 401462"
2037,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_131.gpkg,"40, 41","988094, 11906"
2038,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_40.gpkg,"43, 40","904759, 95241"
2039,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_224.gpkg,"42, 40","239191, 760809"
2040,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_9.gpkg,"39, 42, 40","6003, 632594, 361403"
2041,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_274.gpkg,"41, 40","451782, 548218"
2042,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_408.gpkg,"13, 38","504021, 495979"
2043,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_358.gpkg,"13, 38","913802, 86198"
2044,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_436.gpkg,"39, 42","88683, 911317"
2045,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_395.gpkg,"38, 13, 36","908185, 91594, 221"
2046,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_227.gpkg,"39, 42","867508, 132492"
2047,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_215.gpkg,"41, 40, 43","365637, 438162, 196201"
2048,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_384.gpkg,"13, 38","978595, 21405"
2049,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_472.gpkg,"42, 40","564249, 435751"
2050,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_60.gpkg,"41, 40","2369, 997631"
2051,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_254.gpkg,"40, 38","609471, 390529"
2052,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_425.gpkg,"38, 13, 36","967815, 31878, 307"
2053,S1B_IW_GRDH_1SDV_20210616T012829_20210616T012854_027375_0344FD_7798_432.gpkg,43,1000000
